system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
193_0,0.09629406,0.10124661,0.1032813,0.11106949,0.10514346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.297239631723904,30.57914634483478]}"
194_0,0.13115956,0.12079984,0.13508816,0.13650621,0.11793026,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.769394145057124,31.049144901486113]}"
195_0,0.113552935,0.12569271,0.11474288,0.104482554,0.10993001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.324364179022462,31.23024526276461]}"
196_0,0.08486351,0.07334183,0.07718039,0.07716264,0.073503055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.267406415727432,30.780458800005963]}"
197_0,0.1103298,0.113613345,0.11797131,0.10886086,0.1133754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.012114360544367,30.56674959391393]}"
198_0,0.08719456,0.09274901,0.08749599,0.0745588,0.081719205,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.693571760795585,31.302739306193054]}"
199_0,0.3308349,0.4003498,0.31472248,0.27049053,0.27097538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.402342519965887,31.785404108350473]}"
200_0,0.076933496,0.079959184,0.0864513,0.08155976,0.083771385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.3426898108185,31.001713854484603]}"
201_0,0.079017825,0.091944784,0.08579623,0.07807892,0.085854754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.635091435799405,31.02596836715583]}"
202_0,0.2750912,0.26037213,0.24012417,0.24964924,0.22064368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.699595047481037,31.43964255549287]}"
203_0,0.0931187,0.10714878,0.096688755,0.11029404,0.090300865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.416531327173125,31.087952121760075]}"
204_0,0.15427986,0.14461495,0.155543,0.15539697,0.1358671,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.958121037686933,31.588942555713533]}"
205_0,0.12657349,0.12737906,0.13412966,0.1543937,0.12641771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.455783130807296,31.290342555272204]}"
206_0,0.07613254,0.06904353,0.076321855,0.1025056,0.08064659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.256087643147526,30.519857536082892]}"
207_0,0.14491665,0.15778352,0.14442894,0.14997399,0.15933947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.418242700494803,31.350978836950272]}"
208_0,0.20809276,0.18805708,0.16443048,0.16134746,0.15123712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.915635299029931,31.87784075108637]}"
209_0,0.13315839,0.12884359,0.12895499,0.117637984,0.06376587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.740288729851652,30.759707716942803]}"
210_0,0.3087549,0.28548524,0.28437608,0.2651953,0.2599087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.418242700494803,31.432635696276737]}"
211_0,0.11749628,0.10870113,0.10245957,0.12351554,0.10264192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.285920859143998,31.0723214358164]}"
212_0,0.20307325,0.20996438,0.19322237,0.20133129,0.1910476,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.105089992450738,31.693775949370284]}"
213_0,0.088419326,0.08952084,0.091190964,0.09868883,0.09697482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.844394322717402,31.256655732117725]}"
214_0,0.31068724,0.28458738,0.23297165,0.24687846,0.27040663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.049304613306916,31.66925194211382]}"
215_0,0.33363995,0.3339438,0.30978256,0.32420644,0.33576274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.878000462907174,31.201948331314846]}"
216_0,0.11704123,0.11732829,0.12743033,0.14948104,0.10170309,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.04965479085686,31.904251220439487]}"
217_0,0.09324609,0.08866103,0.100997314,0.10612807,0.10160826,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.265169776080837,30.61121620047785]}"
218_0,0.12629326,0.12087157,0.10719104,0.121666074,0.13628179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.653780967990942,30.61633659759733]}"
219_0,0.10413206,0.115616605,0.11101766,0.10151159,0.09981933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.406829522104633,30.81010320438191]}"
220_0,0.24919726,0.2459024,0.20372638,0.18398288,0.19285195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.225015082880694,31.958958621242367]}"
221_0,0.48208752,0.41396442,0.4175662,0.3955708,0.4067158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.486963819729946,31.53127071447306]}"
222_0,0.114125505,0.11398434,0.11919724,0.12903078,0.12317092,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.19733782356611,31.539625046615374]}"
223_0,0.16417716,0.1750485,0.13459392,0.16466196,0.14557989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.812243784109626,30.754317825238086]}"
224_0,0.08271258,0.085563324,0.07800677,0.07803079,0.080776036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.788703349383843,31.195480461269185]}"
225_0,0.08026701,0.09719109,0.09832047,0.06822772,0.07746479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.683061471971387,30.710120713259407]}"
226_0,0.27223763,0.22051696,0.24844773,0.18898281,0.2492256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.843410750186721,31.759263133582596]}"
227_0,0.09997732,0.11333474,0.13512781,0.12568334,0.10845371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.673629161488131,30.87585988317946]}"
228_0,0.075137764,0.10353713,0.08132507,0.100213304,0.07750202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.328231509026027,30.707156272821813]}"
