system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
84_0,3994.5,3853.5,1033.0,1561.5,2441.0,2788.0,2838.5,2994.5,3024.0,3051.5,0.14687358,0.31894013,-0.120610684,-0.13827741,0.106678866,0.16000366,329.8893,227.0,46.63293,2.1433437,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,4438.5,4148.0,1598.0,2282.0,3244.5,3594.0,3670.0,3795.0,3837.5,3830.5,0.13095711,0.25418743,-0.038882975,-0.072619624,0.08373341,0.12559125,322.39136,167.0,38.928616,3.5079577,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,4433.5,4038.0,1699.0,2313.5,3078.5,3433.5,3520.5,3679.0,3715.0,3754.0,0.1684843,0.23247905,-0.041661292,-0.08817574,0.093692504,0.14052841,130.75125,245.0,55.123283,1.4205493,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,6127.5,5281.5,1271.0,2022.0,3448.5,3909.5,4077.0,4230.5,4135.5,4248.5,0.1122916,0.34323996,-0.12169481,-0.1940953,0.09058544,0.1358692,319.1062,1293.0,39.550858,14.411721,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,3771.5,3675.0,934.0,1471.0,2418.0,2689.0,2794.0,2913.0,2962.0,2978.5,0.12994458,0.33634108,-0.10742805,-0.1202198,0.10111524,0.15165877,270.0,140.0,42.873474,3.2183712,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,5220.0,4552.0,1263.0,1957.5,3079.0,3478.5,3677.0,3806.0,3873.0,3924.0,0.15416877,0.328531,-0.080593474,-0.14813593,0.11421174,0.17130528,-0.0,1324.0,41.967014,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,4447.0,3858.0,823.0,1396.0,2568.0,2885.0,2995.0,3121.0,3216.0,3206.0,0.13009436,0.3946227,-0.090754874,-0.16064204,0.112033196,0.16803527,213.43245,908.0,36.447285,7.732408,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,3725.0,3427.5,1032.5,1479.5,2158.0,2490.0,2751.0,3003.5,3086.0,3170.5,0.27981305,0.35187823,-0.052429568,-0.09381882,0.17696415,0.2654209,270.0,169.0,59.39893,1.076269,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,1791.0,1440.0,1105.5,1192.0,1316.5,1523.5,1647.5,1692.5,1750.0,1758.5,0.7976081,0.1896669,0.09717868,-0.01157865,0.14136638,0.212015,49.151184,99.0,45.065254,2.8337677,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,4305.0,3789.0,1141.0,1760.0,2515.0,2945.0,3294.0,3498.0,3566.0,3673.0,0.2601614,0.33909124,-0.03031951,-0.09388896,0.17283341,0.2592288,246.66124,129.0,49.919865,2.339862,"{""type"":""MultiPoint"",""coordinates"":[]}"
