system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
93_0,4177.0,3455.0,1151.0,1708.0,2665.0,3019.0,3151.0,3297.0,3374.0,3406.0,0.16515258,0.3278237,-0.01186118,-0.10634353,0.117403544,180.0,1798.0,159.84418,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,2961.0,2843.0,998.0,1414.0,2105.0,2361.5,2438.5,2509.5,2529.0,2530.0,0.13811074,0.2827796,-0.058451228,-0.078688525,0.09149763,217.75456,1163.0,100.533485,3.514847,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,5082.2,4680.6665,1271.1428,1996.6364,2929.8,3252.3333,3438.9092,3599.3635,3598.8572,3605.2,0.14363508,0.28634128,-0.13066082,-0.17087124,0.102480054,229.29727,2158.0,180.03772,2.8421443,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,2329.0,2133.5,1093.6666,1451.0,1862.0,1997.0,2002.5,2029.0,1996.0,2010.0,0.067451924,0.1581085,-0.03329701,-0.07699422,0.034733023,299.70703,1323.0,140.79599,3.737853,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,3730.0,3393.0,1159.0,1750.0,2866.0,3125.0,3234.0,3289.0,3287.0,3286.0,0.089259215,0.30514196,-0.015868263,-0.06313239,0.06842191,107.83335,1388.0,108.03738,9.010614,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,3210.0,2771.0,1018.0,1470.0,1945.0,2211.0,2484.0,2623.0,2712.0,2814.0,0.28415826,0.2969871,-0.010760533,-0.08409321,0.1646983,3.0269005,2704.0,216.12048,19.627684,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,2292.0,2053.5,907.0,1285.75,2059.6667,2293.0,2419.75,2506.6667,2474.5,2500.0,0.12913498,0.31613588,0.09297703,0.038288053,0.091490515,212.86456,1709.0,132.85086,9.840028,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3816.0,3421.0,1495.0,2052.0,2810.0,3074.0,3110.0,3191.0,3171.0,3186.0,0.102330066,0.2142447,-0.03792476,-0.092314295,0.060357798,240.25456,1254.0,106.55998,3.7334783,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,4352.0,3820.0,814.0,1295.0,2470.0,2779.0,2876.0,3006.0,3019.0,3094.0,0.11695782,0.39962912,-0.11712239,-0.18084385,0.10001822,270.0,1483.0,133.85284,9.655452,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,3374.5,2737.0,1003.0,1573.5,2257.5,2695.6,3312.25,3656.0,3746.5,3819.0,0.3810133,0.40845865,0.15570293,0.052239854,0.24800134,229.39723,1154.0,117.20441,2.8479152,"{""type"":""MultiPoint"",""coordinates"":[]}"
