system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
110_0,3829.0,3289.8,1354.5,1976.6666,2696.8333,2926.625,2960.8333,3010.1667,2985.0,2948.0,0.07997301,0.20322473,-0.04857526,-0.12386264,0.050717212,310.54184,949.0,140.71518,5.6888413,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,3495.0,2967.0,1203.0,1770.0,2306.5,2451.0,2491.6667,2571.5,2615.0,2574.0,0.10376724,0.1927024,-0.06305984,-0.14402619,0.06268414,242.70827,900.0,150.31667,22.960012,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,3294.0,3160.5,881.6667,1319.2,1848.0,2006.6,2004.6,2123.0,2119.0,2120.25,0.10272156,0.23262174,-0.19727246,-0.21707001,0.068313584,34.990547,919.0,138.99464,11.177285,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,3602.0,3399.0,1019.0,1540.0,2248.0,2450.0,2511.0,2575.0,2597.0,2598.0,0.10333393,0.25549915,-0.13375583,-0.16212292,0.072033025,158.76418,1059.0,163.72585,2.9824767,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,3179.0,2939.0,1120.0,1621.0,2312.0,2515.0,2573.0,2631.0,2648.0,2662.0,0.10343554,0.24057156,-0.0520852,-0.09112751,0.06774194,30.131824,902.0,155.88023,2.1438024,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,3845.0,3212.6667,1109.3334,1676.0,2244.0,2699.6667,2955.6667,3107.5,3043.5,3097.0,0.24409233,0.28975528,-0.02704,-0.11635334,0.15120567,90.0,1003.0,164.00725,1.0804685,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,2725.0,2488.0,1058.5,1473.0,2137.0,2366.5,2420.5,2492.0,2491.5,2497.0,0.12015727,0.25690502,7.0288184E-4,-0.044761814,0.07659069,189.90785,1422.0,146.32823,18.193476,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,3826.0,3715.0,1185.75,1701.0,2459.0,2699.0,2745.0,2858.0,2853.6667,2913.0,0.11320775,0.25307378,-0.13112757,-0.14556614,0.07428788,130.5425,1426.0,167.15005,1.4265882,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,2877.0,2673.0,1094.0,1543.0,2370.6667,2643.3333,2717.0,2797.0,2778.0,2814.0,0.11574598,0.28581348,0.01926252,-0.017506631,0.07911432,149.84024,1303.0,134.10796,8.518321,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,3308.0,2939.0,1133.0,1620.0,2205.0,2377.0,2416.0,2495.0,2474.0,2458.0,0.09330559,0.20859794,-0.08590431,-0.14424075,0.057490915,257.90433,972.0,156.8448,4.4174457,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,3522.0,3179.0,1145.0,1608.0,2325.0,2533.0,2573.0,2641.0,2610.0,2672.0,0.0893585,0.23755334,-0.09828986,-0.14872798,0.05775076,16.286024,921.0,152.45454,3.8592072,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,3463.0,3177.0,1140.0,1569.0,2173.0,2397.0,2459.0,2556.0,2541.0,2532.0,0.1308677,0.23649634,-0.1112277,-0.15356429,0.078065336,142.15889,1007.0,164.73935,3.518957,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,3739.0,3458.0,1253.0,1797.0,2546.0,2774.0,2866.0,2937.0,2941.0,2925.0,0.111955106,0.24145208,-0.08079387,-0.119461074,0.07198834,90.0,729.0,138.93613,1.0789956,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,3529.0,3039.0,1288.0,1783.0,2567.0,2870.0,2959.0,3098.0,3119.0,3155.0,0.15572105,0.27254182,0.012991231,-0.061672684,0.09708055,12.53083,1631.0,165.4258,19.20008,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,3694.5,3430.3333,1075.8,1603.0,2274.5,2490.0,2534.0,2594.0,2604.5,2565.6667,0.10080646,0.23802733,-0.13684443,-0.17304334,0.06763681,90.0,835.0,154.52219,3.230784,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,3747.0,3336.0,974.0,1411.0,2072.0,2284.0,2348.0,2413.0,2395.0,2373.0,0.1073375,0.25853914,-0.16419473,-0.22012374,0.07230803,282.12372,906.0,153.12679,4.40742,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,3262.0,2828.0,1120.0,1613.0,2204.0,2369.0,2421.0,2522.0,2600.0,2600.0,0.13333334,0.23427486,-0.04200442,-0.11293074,0.08243131,30.305405,1960.0,145.67828,29.357748,"{""type"":""MultiPoint"",""coordinates"":[]}"
